category,text
관람객,배우들의 연기만으로도 볼 만한 영화에요조우진과 이재인 아버지와 딸의 감정선도 좋았구요 조우진과 지창욱의 대립도 팽팽합니다 굿굿
관람객,ㄷㄷ 조우진님 연기가..
관람객,재밌게 잘 봤어요.시간순삭~지루할틈 없는 연출이었고 배우들 연기도 좋았습니다.범인목소리가 너무 좋다하면서 봤는데 얼굴은 더 좋아...ㅋㅋ
관람객,조우진 배우 첫 주연 영화축하드립니다긴장감 있고 재밌네요잘봤습니다
관람객,조우진배우의 연기가 정말 좋았습니다 90분 동안 지루하지 않게 봤어요!
관람객,개연성 없는 전개가 극중 내내 계속되서 몰입이 안되네요
관람객,조우진이라는 배우는 조연으로 봤을때도 매력있었지만 주연으로도 손색이 없는 배우다.영화를 보는 내내 그의 연기력이 돋보였음. 애기들도 연기 너무 잘함
관람객,뭔가 좀 아쉬운영화 스릴러가 반복되는 장면이 좀 더 있으면 좋았겠다 하는영화 스릴러나올 타이밍에 시간이 질질끄는장면이 있어서 답답했음 그거빼곤 나름 볼만한영화
관람객,"솔직히 어디서 많이 본 스토리라고 하더라도 그 스토리자체가 탄탄하고 배우들의 연기력, 특히 주연 조우진의 연기는 정말 미쳤다 조우진이라는 배우도 단독주연이 가능하다는것을 알려주는 영화, 그리고 부산에서 펼쳐지는 차량..."
관람객,런닝타임 순삭ㅋ 생각보다 더 재밌게 봄
관람객,지창욱만 기억에 남아있음..
관람객,편집이 진짜 짜릿해서 영화가 전혀 지루하지가 않네요. 원작이 있는 걸로 알고 있는데 한국영화관객에 맞게 각색도 좋고.. 차량 내부라는 한정적인 공간에서 최대한의 액션을 이끌어내서 연출적으로 너무 좋았습니다! 조우진 ...
관람객,"뻔한 스토리 클리셰에 뜬금없는 대사 = 노잼 웬만한 한국영화 재밌게 보는 편인데, 배우들 연기 때문에 참고 봤다 똑같은 설전을 몇번이나 하는지.. 컷 낭비 아닌가 돈부터 줘 vs 병원부터 가자 만 열번은 들은듯"
관람객,돈주고 제네시스 광고만 보다 온 기분.. 재밌다그래서 기대하고 오랜만에 본건데 완전 망한 픽...내용이 주는 감동도없고; 착한사람만 당하는거니까 더 짜증남..^^
관람객,이게 어떻게 8점대가나오는영화지 제네시스광고라는게 더 현실적일듯
관람객,OOO기같은 영화를 만들었네 제작비가 없으면 만들지를 말던가
관람객,조우진 연기는 좋으나 스토리 개노잼 억지 슬픈장면 헬기장면 대박
관람객,억지감동만 주고 개연성 하나도 없고 보다가 다 나가는 답없는 차광고영화 배우낭비
관람객,왜1위일까돈너무아깝다 진심..뭐지?
